self_employed,sought_treatment,employer_benefits,employer_takes_seriously,fear_negative_consequences,work_interference,remote_work,gender,age,country,year,productivity_affected,has_mental_health_disorder,tech_role
No,No,Yes,Don't Know,Maybe,,No,Male,34.0,United States,2014,,,
No,No,No,Don't Know,Maybe,Sometimes,No,Male,28.0,Colombia,2014,,,
No,Yes,Yes,Yes,Maybe,Rarely,No,Male,28.0,United States,2014,,,
No,No,Don't Know,No,Maybe,Sometimes,No,Male,23.0,United States,2014,,,
Yes,Yes,Don't Know,No,Maybe,Sometimes,Yes,Male,22.0,Australia,2014,,,
No,No,No,Don't Know,Yes,Never,No,Male,27.0,Portugal,2014,,,
No,Yes,Don't Know,Don't Know,Yes,Sometimes,No,Male,18.0,United States,2014,,,
No,Yes,Yes,Don't Know,Yes,Sometimes,No,Male,35.0,United States,2014,,,
No,No,Don't Know,No,No,,No,Male,25.0,Canada,2014,,,
No,Yes,No,Yes,Maybe,Sometimes,No,Male,27.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,Maybe,Rarely,No,Female,26.0,United States,2014,,,
No,No,Don't Know,Yes,No,Never,No,Male,18.0,United States,2014,,,
No,Yes,No,Don't Know,No,Sometimes,No,Female,38.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Rarely,Yes,Female,26.0,United States,2014,,,
Yes,No,No,Yes,No,Never,No,Male,30.0,Switzerland,2014,,,
No,No,Don't Know,Don't Know,Yes,Never,No,Male,35.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Sometimes,No,Male,45.0,United States,2014,,,
No,No,Yes,Don't Know,Maybe,Never,No,Male,32.0,United States,2014,,,
No,Yes,Yes,Don't Know,No,Never,No,Male,56.0,United States,2014,,,
No,No,Don't Know,No,Maybe,,No,Female,24.0,United States,2014,,,
No,Yes,Yes,Yes,No,Sometimes,No,Female,30.0,United States,2014,,,
No,No,Yes,Yes,No,,No,Male,60.0,United States,2014,,,
No,Yes,Yes,Don't Know,Yes,Sometimes,No,Male,33.0,United States,2014,,,
No,No,Yes,Don't Know,No,Never,No,Male,37.0,United States,2014,,,
No,Yes,Yes,Yes,No,Sometimes,No,Female,23.0,United States,2014,,,
No,Yes,Yes,Yes,No,Sometimes,No,Female,31.0,United States,2014,,,
No,No,Yes,Don't Know,No,Rarely,No,Male,26.0,United States,2014,,,
